ZIP Code	Type	County	Population	Area Code(s)
ZIP Code 30301	P.O. Box	Fulton	0	404 / 470 / 678
ZIP Code 30302	P.O. Box	Fulton	0	404 / 470 / 678
ZIP Code 30303	Standard	Fulton	5,934	404 / 470 / 678
ZIP Code 30304	Standard	Fulton	0	470
ZIP Code 30305	Standard	Fulton	22,999	404 / 470 / 678 / 770
ZIP Code 30306	Standard	Fulton	22,246	404
ZIP Code 30307	Standard	Fulton	18,004	404
ZIP Code 30308	Standard	Fulton	15,413	404 / 470 / 678
ZIP Code 30309	Standard	Fulton	21,845	404 / 470 / 678
ZIP Code 30310	Standard	Fulton	26,912	404 / 678
ZIP Code 30311	Standard	Fulton	32,218	404
ZIP Code 30312	Standard	Fulton	19,360	404 / 470 / 678
ZIP Code 30313	Standard	Fulton	9,495	404 / 470 / 678
ZIP Code 30314	Standard	Fulton	22,020	404
ZIP Code 30315	Standard	Fulton	33,857	404 / 678
ZIP Code 30316	Standard	Fulton	31,110	404
ZIP Code 30317	Standard	Dekalb	11,970	404
ZIP Code 30318	Standard	Fulton	49,736	770 / 678 / 404 / 470
ZIP Code 30319	Standard	Dekalb	38,423	770 / 678
ZIP Code 30320	P.O. Box	Fulton	0	404 / 770 / 470 / 678
ZIP Code 30321	P.O. Box	Fulton	0	404 / 770 / 470 / 678
ZIP Code 30322	Unique	Dekalb	2,023	404
ZIP Code 30324	Standard	Fulton	24,267	404 / 470 / 678 / 770
ZIP Code 30325	P.O. Box	Fulton	0	404 / 470 / 678
ZIP Code 30326	Standard	Fulton	4,802	404 / 470 / 678 / 770
ZIP Code 30327	Standard	Fulton	22,208	770 / 678 / 404 / 470
ZIP Code 30328	Standard	Fulton	30,348	678 / 770 / 404 / 470
ZIP Code 30329	Standard	Dekalb	28,539	404
ZIP Code 30331	Standard	Fulton	54,094	404
ZIP Code 30332	Unique	Fulton	2,970	404 / 470 / 678
ZIP Code 30333	P.O. Box	Dekalb	0	404
ZIP Code 30334	Standard	Fulton	1	404 / 470 / 678
ZIP Code 30336	Standard	Fulton	971	404
