business_name,review_count,rating,address,price_range,url
Sovereign Buckhead,1,5.0,"3344 Peachtree Rd NE Atlanta, GA 30326",0,https://www.yelp.com/biz/sovereign-buckhead-atlanta?osq=Apartments
The High Rise at Post Alexander,4,4.0,"600 Phipps Blvd Atlanta, GA 30342",0,https://www.yelp.com/biz/the-high-rise-at-post-alexander-atlanta?osq=Apartments
1105 Town Brookhaven,21,4.5,"1105 Town Blvd Atlanta, GA 30319",0,https://www.yelp.com/biz/1105-town-brookhaven-atlanta-2?osq=Apartments
@1377 Apartments,10,4.0,"1377 Dresden Dr Atlanta, GA 30319",0,https://www.yelp.com/biz/1377-apartments-atlanta?osq=Apartments
AMLI 3464,15,4.5,"3464 Roxboro Rd NE Atlanta, GA 30326",0,https://www.yelp.com/biz/amli-3464-atlanta?osq=Apartments
SkyHouse Buckhead,40,3.5,"3390 Stratford Rd Atlanta, GA 30326",0,https://www.yelp.com/biz/skyhouse-buckhead-atlanta-3?osq=Apartments
Elle of Buckhead,40,3.0,"235 Pharr Rd Atlanta, GA 30305",0,https://www.yelp.com/biz/elle-of-buckhead-atlanta?osq=Apartments
Evergreen Lenox Park,9,5.0,"100 lenox Park Cir NE Atlanta, GA 30319",0,https://www.yelp.com/biz/evergreen-lenox-park-atlanta?osq=Apartments
The Pointe at Lindbergh,7,4.5,"485 Lindbergh Pl NE Atlanta, GA 30324",0,https://www.yelp.com/biz/the-pointe-at-lindbergh-atlanta?osq=Apartments
92 West Paces,15,3.5,"92 W Paces Ferry Rd NW Atlanta, GA 30305",0,https://www.yelp.com/biz/92-west-paces-atlanta-2?osq=Apartments
The High Rise at Post Alexander,4,4.0,"600 Phipps Blvd Atlanta, GA 30342",0,https://www.yelp.com/biz/the-high-rise-at-post-alexander-atlanta?osq=Apartments
1105 Town Brookhaven,21,4.5,"1105 Town Blvd Atlanta, GA 30319",0,https://www.yelp.com/biz/1105-town-brookhaven-atlanta-2?osq=Apartments
@1377 Apartments,10,4.0,"1377 Dresden Dr Atlanta, GA 30319",0,https://www.yelp.com/biz/1377-apartments-atlanta?osq=Apartments
AMLI 3464,15,4.5,"3464 Roxboro Rd NE Atlanta, GA 30326",0,https://www.yelp.com/biz/amli-3464-atlanta?osq=Apartments
