business_name,rank,review_count,categories,rating,address,reservation_available,accept_pickup,price_range,url
Holeman & Finch,"1 


        
",1284,"Gastropubs,Cocktail Bars",4.0,2277 Peachtree Rd NE,False,False,2,https://www.yelp.com/biz/holeman-and-finch-atlanta-2?osq=Restaurants
Tavernpointe,"2 


        
",120,"American (New),Gastropubs,Venues & Event Spaces",4.0,1545 Peachtree St,True,False,2,https://www.yelp.com/biz/tavernpointe-atlanta?osq=Restaurants
Tuk Tuk Thai Food Loft,"3 


        
",626,"Thai,Tapas Bars",4.0,1745 Peachtree St NE,False,False,2,https://www.yelp.com/biz/tuk-tuk-thai-food-loft-atlanta?osq=Restaurants
Saltyard,"4 


        
",397,"American (New),Tapas Bars",4.0,1820 Peachtree Rd NW,True,False,2,https://www.yelp.com/biz/saltyard-atlanta?osq=Restaurants
The Hungry Peach,"5 


        
",49,"Southern,American (New),American (Traditional)",4.5,351 Peachtree Hills Ave NE,False,False,2,https://www.yelp.com/biz/the-hungry-peach-atlanta-2?osq=Restaurants
South City Kitchen - Midtown,"6 


        
",2165,"Southern,Breakfast & Brunch",4.5,1144 Crescent Ave NE,False,False,2,https://www.yelp.com/biz/south-city-kitchen-midtown-atlanta-2?osq=Restaurants
gusto!,"7 


        
",394,"American (New),Mediterranean,Fast Food",4.5,1935 Peachtree Rd NE,False,False,1,https://www.yelp.com/biz/gusto-atlanta-2?osq=Restaurants
5Church Atlanta,"8 


        
",434,"American (New),Salad,Burgers",4.0,1197 Peachtree St NE,True,False,2,https://www.yelp.com/biz/5church-atlanta-atlanta?osq=Restaurants
Pasta Da Pulcinella,"9 


        
",549,Italian,4.0,1123 Peachtree Walk NE,False,False,2,https://www.yelp.com/biz/pasta-da-pulcinella-atlanta?osq=Restaurants
Publico Kitchen & Tap,"10 


        
",92,"Asian Fusion,Beer Bar",4.0,1104 Crescent Ave NE,False,False,2,https://www.yelp.com/biz/publico-kitchen-and-tap-atlanta?osq=Restaurants
DUA Vietnamese Noodle Soup,"11 


        
",16,"Poke,Vietnamese",4.5,77 12th Street,False,False,0,https://www.yelp.com/biz/dua-vietnamese-noodle-soup-atlanta?osq=Restaurants
endive Publik house,"12 


        
",152,American (New),4.5,1468 Mecaslin St NW,False,False,2,https://www.yelp.com/biz/endive-publik-house-atlanta-3?osq=Restaurants
Fox Brothers Bar-B-Que Que-osk,"13 


        
",24,"Tex-Mex,Barbeque",4.0,120 Ottley Dr NE,False,False,2,https://www.yelp.com/biz/fox-brothers-bar-b-que-que-osk-atlanta?osq=Restaurants
Ginya Izakaya,"14 


        
",320,"Sushi Bars,Ramen,Izakaya",4.0,1700 Northside Dr NW,False,False,2,https://www.yelp.com/biz/ginya-izakaya-atlanta-4?osq=Restaurants
JCT Kitchen & Bar,"15 


        
",1499,Southern,4.0,1198 Howell Mill Rd,False,False,2,https://www.yelp.com/biz/jct-kitchen-and-bar-atlanta?osq=Restaurants
Eight Sushi Lounge,"16 


        
",557,"Sushi Bars,Lounges,Japanese",4.5,930 Howell Mill Rd NW,False,False,2,https://www.yelp.com/biz/eight-sushi-lounge-atlanta?osq=Restaurants
Bulla Gastrobar,"17 


        
",178,"Spanish,Gastropubs,Tapas Bars",4.5,60 11th St NE,False,False,2,https://www.yelp.com/biz/bulla-gastrobar-atlanta-2?osq=Restaurants
The Greater Good BBQ,"18 


        
",7,"Barbeque,American (Traditional)",4.5,1021 Howell Mill Rd,False,False,0,https://www.yelp.com/biz/the-greater-good-bbq-atlanta-2?osq=Restaurants
The Optimist,"19 


        
",1326,"Seafood,Cocktail Bars,Music Venues",4.0,914 Howell Mill Rd,False,False,3,https://www.yelp.com/biz/the-optimist-atlanta?osq=Restaurants
Bocado,"20 


        
",650,American (New),4.0,887 Howell Mill Rd,True,False,2,https://www.yelp.com/biz/bocado-atlanta?osq=Restaurants
Bun Mi Vietnamese Grill,"21 


        
",50,"Vietnamese,Sandwiches,Noodles",4.5,2277 Peachtree Rd,False,True,1,https://www.yelp.com/biz/bun-mi-vietnamese-grill-atlanta-3?osq=Restaurants
Howell’s Kitchen and Bar,"22 


        
",94,"Pizza,American (New),Gastropubs",4.0,1962 Howell Mill Rd,False,False,2,https://www.yelp.com/biz/howells-kitchen-and-bar-atlanta?osq=Restaurants
Tabla,"23 


        
",397,Indian,4.0,77TH 12th St NE,False,True,2,https://www.yelp.com/biz/tabla-atlanta?osq=Restaurants
Blaze Fast-Fire’d Pizza,"24 


        
",18,"Pizza,Salad,Fast Food",4.5,540 17th St NW,False,False,0,https://www.yelp.com/biz/blaze-fast-fired-pizza-atlanta-3?osq=Restaurants
Allora,"25 


        
",45,"Cocktail Bars,Italian",3.5,361 17th St NW,False,False,2,https://www.yelp.com/biz/allora-atlanta?osq=Restaurants
Le Fat,"26 


        
",320,"Vietnamese,Noodles,Soup",4.0,935 Marietta St NW,False,False,2,https://www.yelp.com/biz/le-fat-atlanta?osq=Restaurants
Better Half,"27 


        
",224,"American (New),Southern,Cocktail Bars",4.0,349 14th St NW,False,False,3,https://www.yelp.com/biz/better-half-atlanta?osq=Restaurants
Public School 404,"28 


        
",348,"Bars,American (New),Gastropubs",4.0,930 Howell Mill Rd,False,True,2,https://www.yelp.com/biz/public-school-404-atlanta?osq=Restaurants
The Local Pizzaiolo - Westside,"29 


        
",98,Pizza,4.5,1000 Marietta St NW,False,True,2,https://www.yelp.com/biz/the-local-pizzaiolo-westside-atlanta-3?osq=Restaurants
Porkman’s Table,"30 


        
",8,"American (Traditional),Cocktail Bars",5.0,384 Deering Rd NW,False,False,0,https://www.yelp.com/biz/porkmans-table-atlanta?osq=Restaurants
